number_sta,lat,lon,height_sta,date,dd,ff,precip,hu,td,t,psl
1027003,45.83,5.11,196.0,20160101 00:00,,,,98.0,278.75,279.05,
1033002,46.09,5.81,350.0,20160101 00:00,0.0,0.0,0.0,99.0,278.25,278.35,
1034004,45.77,5.69,330.0,20160101 00:00,0.0,0.0,0.0,100.0,279.15,279.15,
1072001,46.2,5.29,260.0,20160101 00:00,,,0.0,,,276.55,
1089001,45.98,5.33,252.0,20160101 00:00,0.0,0.0,0.0,95.0,278.85,279.55,102720.0
1185004,45.9797,5.5982,805.0,20160101 00:00,,,0.0,,,277.95,
1200002,46.09,5.482,596.0,20160101 00:00,,,0.0,95.0,278.05,278.75,
1235002,46.0467,5.07329,273.0,20160101 00:00,,,0.0,,,275.35,
1384003,45.9503,5.461,296.0,20160101 00:00,,,0.0,99.0,279.75,279.85,
1414001,45.91617,5.62467,878.0,20160101 00:00,280.0,1.0,0.0,97.0,277.35,277.75,
3060001,46.17,3.4,251.0,20160101 00:00,210.0,1.7,0.0,97.0,274.65,275.05,102830.0
3061001,46.06,3.23,330.0,20160101 00:00,,,0.0,,,278.35,
3108001,46.19,2.96,650.0,20160101 00:00,,,0.0,,,277.05,
3248001,46.05,3.81,1022.0,20160101 00:00,280.0,3.1,0.0,100.0,275.45,275.45,
4006005,44.24,6.63,1400.0,20160101 00:00,,,0.0,,,272.55,
4019001,44.39,6.67,1155.0,20160101 00:00,0.0,0.0,0.0,88.0,271.35,273.15,
4049001,44.06,5.99,461.0,20160101 00:00,80.0,0.8,0.0,83.0,276.05,278.75,102660.0
4068001,43.91,5.77,427.0,20160101 00:00,0.0,0.0,0.0,96.0,277.85,278.45,
4070009,44.07,6.18667,554.0,20160101 00:00,30.0,1.2,0.0,88.0,276.55,278.35,
4115001,44.03,6.62,1090.0,20160101 00:00,,,0.0,,,274.65,
4126001,44.39,6.33,1197.0,20160101 00:00,,,0.0,,,276.05,
4134002,44.33,6.03,665.0,20160101 00:00,230.0,0.8,0.0,91.0,275.95,277.25,
4136001,43.98,6.52,920.0,20160101 00:00,250.0,0.8,0.0,98.0,272.75,273.05,
4209005,44.22,5.92,500.0,20160101 00:00,280.0,0.6,0.0,91.0,276.25,277.55,
4230001,43.8395,6.0008300000000006,600.0,20160101 00:00,50.0,1.0,0.0,92.0,277.05,278.25,
5007003,44.8,6.73,1825.0,20160101 00:00,0.0,0.0,0.0,87.0,269.15,271.05,
5046001,44.57,6.5,877.0,20160101 00:00,40.0,2.6,0.0,80.0,271.45,274.55,
5055001,44.57,5.75,825.0,20160101 00:00,0.0,0.0,0.0,100.0,276.45,276.45,
5061009,44.58,6.08,885.0,20160101 00:00,30.0,1.4,0.0,87.0,275.25,277.25,
5070003,44.32,5.79,565.0,20160101 00:00,240.0,0.6,0.0,95.0,276.35,277.05,
5120002,44.77,6.98,1670.0,20160101 00:00,120.0,1.1,0.0,92.0,266.75,267.85,
5126001,44.39,5.46,625.0,20160101 00:00,0.0,0.0,0.0,92.0,277.75,278.95,
5136002,44.7,6.6,906.0,20160101 00:00,210.0,0.6,0.0,90.0,268.85,270.25,
5145002,44.67,6.21,1210.0,20160101 00:00,50.0,0.6,0.0,90.0,274.45,275.95,
5158001,44.48,5.82,801.0,20160101 00:00,,,0.0,,,276.25,
5170001,44.45,6.03,600.0,20160101 00:00,10.0,1.4,0.0,96.0,274.75,275.35,102760.0
5181002,45.03083,6.361669999999998,1665.0,20160101 00:00,0.0,0.0,0.0,96.0,272.95,273.55,
5183001,44.88,6.64,1310.0,20160101 00:00,0.0,0.0,0.0,87.0,269.75,271.65,
6004002,43.56,7.13,72.0,20160101 00:00,350.0,1.9,,,,,
6004009,43.6,7.11,30.0,20160101 00:00,,,0.0,,,283.15,
6005001,43.92,7.01,1173.0,20160101 00:00,340.0,0.7,0.0,96.0,274.35,274.95,
6023004,43.941,7.515,319.0,20160101 00:00,0.0,0.0,0.0,88.0,277.15,278.95,
6029001,43.56,6.95,4.0,20160101 00:00,10.0,1.5,0.0,79.0,279.35,282.85,102590.0
6033002,43.79,7.21,78.0,20160101 00:00,,,0.0,,,281.35,
6037002,43.75,6.92,1268.0,20160101 00:00,240.0,1.9,0.0,100.0,274.85,274.85,
6038001,43.67,6.99,388.0,20160101 00:00,340.0,1.7,0.0,89.0,278.45,280.15,
6050002,43.79,7.05,985.0,20160101 00:00,,,0.0,,,276.15,
6059003,43.74,7.36,677.0,20160101 00:00,,,0.0,,,278.35,
6074005,43.97,7.31,550.0,20160101 00:00,,,0.0,,,279.55,
6075007,43.85,7.21,691.0,20160101 00:00,120.0,1.1,0.0,94.0,276.85,277.75,
6077006,43.93,7.36,1443.0,20160101 00:00,280.0,3.1,0.0,100.0,273.25,273.25,
6079002,43.52,6.9,104.0,20160101 00:00,260.0,1.5,0.0,85.0,279.65,282.05,
6081001,43.81367,6.80933,1525.0,20160101 00:00,310.0,3.6,0.0,91.0,274.45,275.75,
6083005,43.79,7.49,216.0,20160101 00:00,320.0,1.6,0.0,72.0,277.45,282.25,
6088001,43.65,7.21,26.0,20160101 00:00,330.0,3.1,0.0,71.0,277.75,282.75,102590.0
6088007,43.74,7.28,238.0,20160101 00:00,10.0,1.4,0.0,79.0,277.95,281.35,
6090002,43.6,6.94,109.0,20160101 00:00,360.0,1.0,0.0,79.0,278.75,282.25,
6091003,43.78,7.43,1106.0,20160101 00:00,240.0,3.1,0.0,100.0,275.25,275.25,
6094002,44.1,6.93,1784.0,20160101 00:00,280.0,2.1,0.0,66.0,270.05,275.75,
6099004,43.96,6.89,442.0,20160101 00:00,,,0.0,,,278.15,
6102001,44.07,7.13,1130.0,20160101 00:00,,,0.0,,,274.95,
6118002,43.67867,6.809,694.0,20160101 00:00,20.0,0.6,0.0,96.0,277.45,278.05,
6120004,44.26,6.92,1150.0,20160101 00:00,,,0.0,,,273.25,
6125001,44.15,6.75,1642.0,20160101 00:00,,,0.0,,,275.45,
6127006,44.07,7.26,899.0,20160101 00:00,,,0.0,,,275.45,
6136005,43.86,7.43,843.0,20160101 00:00,340.0,0.6,0.0,99.0,276.65,276.75,
6152002,43.62,7.03,238.0,20160101 00:00,360.0,1.8,0.0,83.0,278.75,281.45,
6163007,44.04,7.59,636.0,20160101 00:00,,,0.0,,,277.45,
7005002,44.5388,4.5828,223.0,20160101 00:00,,,0.0,99.0,280.45,280.55,
