number_sta,lat,lon,date,dd,ff,precip,hu,t,heure,minute,seconde,heure_complete
7187001,44.61,4.24,2016-01-01 00:00:00,310.0,3.5,0.0,98.0,278.95,0,0,0,0 days 00:00:00
15122002,44.73,2.17,2016-01-01 00:00:00,320.0,1.3,0.0,97.0,276.35,0,0,0,0 days 00:00:00
19164001,45.7,2.06,2016-01-01 00:00:00,0.0,0.0,0.0,100.0,274.55,0,0,0,0 days 00:00:00
26321003,44.55,5.28,2016-01-01 00:00:00,0.0,0.0,0.0,98.0,279.45,0,0,0,0 days 00:00:00
34209002,43.32,3.35,2016-01-01 00:00:00,340.0,1.2,0.0,95.0,282.95,0,0,0,0 days 00:00:00
38191002,45.09,6.09,2016-01-01 00:00:00,360.0,2.4,0.0,91.0,273.95,0,0,0,0 days 00:00:00
38548001,45.08,5.56,2016-01-01 00:00:00,80.0,0.8,0.0,99.0,277.05,0,0,0,0 days 00:00:00
74042003,46.07,6.38,2016-01-01 00:00:00,260.0,0.5,0.0,98.0,279.55,0,0,0,0 days 00:00:00
83148002,43.39,6.53,2016-01-01 00:00:00,40.0,1.6,0.0,83.0,280.95,0,0,0,0 days 00:00:00
84025001,43.88,5.16,2016-01-01 00:00:00,0.0,0.0,0.0,98.0,281.55,0,0,0,0 days 00:00:00
7187001,44.61,4.24,2016-01-01 00:06:00,310.0,3.4,0.0,97.0,279.05,0,6,0,0 days 00:06:00
15122002,44.73,2.17,2016-01-01 00:06:00,350.0,2.1,0.0,98.0,277.25,0,6,0,0 days 00:06:00
19164001,45.7,2.06,2016-01-01 00:06:00,70.0,0.8,0.0,100.0,274.55,0,6,0,0 days 00:06:00
26321003,44.55,5.28,2016-01-01 00:06:00,0.0,0.0,0.0,97.0,279.45,0,6,0,0 days 00:06:00
34209002,43.32,3.35,2016-01-01 00:06:00,330.0,2.1,0.0,95.0,283.05,0,6,0,0 days 00:06:00
38191002,45.09,6.09,2016-01-01 00:06:00,360.0,2.4,0.0,90.0,273.95,0,6,0,0 days 00:06:00
38548001,45.08,5.56,2016-01-01 00:06:00,50.0,0.8,0.0,99.0,277.05,0,6,0,0 days 00:06:00
74042003,46.07,6.38,2016-01-01 00:06:00,230.0,0.6,0.2,98.0,279.55,0,6,0,0 days 00:06:00
